Time  Up  Ip  Btor  Ur  Up  Ip  Btor  Ur
0  0,0210  -0,5638  -0,2682  -6,0000  0,0420  -0,5951  -0,2980  -8,0000
0,034  0,0000  -0,3445  -0,4470  -6,0000  0,0210  -0,3758  -0,4172  -7,0000
0,068  0,0420  -0,3132  -0,4768  -7,0000  0,0000  -0,2819  -0,5066  -6,0000
0,102  0,0000  -0,2506  -0,5066  -6,0000  0,0210  -0,3132  -0,5364  -6,0000
0,136  0,0210  -0,2819  -0,5066  -6,0000  0,0210  -0,2819  -0,5364  -6,0000
0,17  0,0420  -0,2819  -0,5364  -7,0000  0,0210  -0,2506  -0,5364  -7,0000
0,204  0,0210  -0,2506  -0,5364  -7,0000  0,0210  -0,2819  -0,5364  -7,0000
0,238  0,0210  -0,2506  -0,5364  -6,0000  0,0420  -0,2506  -0,5364  -7,0000
0,272  0,0420  -0,2506  -0,5364  -6,0000  0,0420  -0,2819  -0,5364  -6,0000
0,306  0,0420  -0,2506  -0,5066  -6,0000  0,0420  -0,2506  -0,5662  -7,0000
0,34  0,0420  -0,2506  -0,5364  -6,0000  0,0420  -0,2819  -0,5662  -6,0000
0,374  -0,0210  -0,3132  -0,4768  -6,0000  0,0210  -0,2819  -0,5662  -7,0000
0,408  0,0420  -0,2819  -0,5364  -6,0000  0,0420  -0,2506  -0,5066  -6,0000
0,442  0,0210  -0,2506  -0,5662  -6,0000  0,0420  -0,2819  -0,5364  -6,0000
0,476  0,0210  -0,2819  -0,5364  -7,0000  0,0000  -0,2819  -0,5364  -6,0000
0,51  0,0000  -0,2819  -0,5364  -7,0000  0,0420  -0,2819  -0,5364  -6,0000
0,544  0,0210  -0,2506  -0,5066  -7,0000  0,0210  -0,2819  -0,5066  -6,0000
0,578  0,0420  -0,2506  -0,5066  -6,0000  0,0210  -0,2819  -0,5364  -7,0000
0,612  0,0210  -0,2506  -0,5364  -6,0000  0,0210  -0,2506  -0,5364  -7,0000
0,646  0,0420  -0,2506  -0,5364  -6,0000  0,0420  -0,2819  -0,5364  -6,0000
0,68  -0,0210  -0,2819  -0,5066  -6,0000  0,0420  -0,2819  -0,5364  -6,0000
0,714  0,0210  -0,2506  -0,5066  -7,0000  0,0210  -0,2819  -0,5364  -7,0000
0,748  0,0000  -0,2506  -0,5364  -7,0000  0,0210  -0,2506  -0,5364  -9,0000
0,782  0,0210  -0,2506  -0,5364  -7,0000  0,0210  -0,2819  -0,5066  -6,0000
0,816  0,0420  -0,2819  -0,5364  -7,0000  0,0210  -0,2819  -0,5364  -6,0000
0,85  0,0210  -0,2506  -0,5066  -7,0000  0,0210  -0,2819  -0,5364  -7,0000
0,884  0,0420  -0,2506  -0,5066  -6,0000  0,0210  -0,2819  -0,5662  -6,0000
0,918  0,0210  -0,2506  -0,5066  -6,0000  0,0210  -0,2819  -0,5066  -6,0000
0,952  0,0840  -0,2506  -0,5364  -7,0000  0,0420  -0,2819  -0,5364  -7,0000
0,986  0,0000  -0,2506  -0,5364  -7,0000  0,0420  -0,2819  -0,5364  -7,0000
1,02  0,0210  -0,2506  -0,5364  -6,0000  0,0210  -0,2819  -0,5364  -6,0000
1,054  0,0210  -0,2506  -0,5066  -6,0000  0,0420  -0,2819  -0,5066  -7,0000
1,088  -0,0210  -0,3132  -0,5364  -7,0000  0,0420  -0,2819  -0,5364  -6,0000
1,122  0,0000  -0,2506  -0,5066  -6,0000  0,0210  -0,2506  -0,5066  -7,0000
1,156  0,0000  -0,2506  -0,5066  -7,0000  0,0420  -0,2819  -0,5364  -7,0000
1,19  0,0210  -0,2506  -0,5066  -6,0000  0,0420  -0,2819  -0,5364  -7,0000
1,224  0,0210  -0,2506  -0,5066  -7,0000  0,0000  -0,2819  -0,5364  -7,0000
1,258  0,0420  -0,2506  -0,5066  -7,0000  0,0630  -0,2506  -0,5364  -6,0000
1,292  0,0210  -0,2819  -0,5066  -7,0000  0,0000  -0,2819  -0,5066  -6,0000
1,326  -0,9030  12,8099  -0,5662  -135,0000  -0,7560  15,5660  -0,5960  -109,0000
1,36  -0,2940  8,7383  -0,4768  -122,0000  -0,1050  6,2640  -0,4768  -93,0000
1,394  -0,1260  2,1298  -0,4172  -85,0000  -0,1680  1,3468  -0,4470  -73,0000
1,428  -0,0840  0,2506  -0,3278  -64,0000  -0,0630  0,0313  -0,3576  -59,0000
1,462  -0,0630  -0,1879  -0,3576  -50,0000  -0,0420  -0,2506  -0,3278  -46,0000
1,496  -0,0840  -0,3132  -0,2980  -38,0000  -0,0210  -0,3445  -0,2682  -35,0000
1,53  0,0000  -0,2819  -0,2086  -28,0000  0,0000  -0,3132  -0,2086  -26,0000
1,564  0,0000  -0,3132  -0,1788  -18,0000  -0,0210  -0,4072  -0,1490  -14,0000
1,598  0,0630  -0,3445  -0,0894  -8,0000  0,0210  -0,3445  -0,1192  -5,0000
1,632  0,0420  -0,3445  -0,0596  0,0000  0,0840  -0,3758  -0,0596  3,0000
1,666  0,0210  -0,3758  0,0000  7,0000  0,0630  -0,3758  0,0298  9,0000
1,7  0,0630  -0,3758  0,0596  14,0000  0,0840  -0,3758  0,0894  16,0000
1,734  0,0420  -0,3445  0,1192  20,0000  0,0420  -0,4072  0,1490  22,0000
1,768  0,0420  -0,3758  0,2086  27,0000  0,1050  -0,3758  0,1788  29,0000
1,802  0,4200  -0,3758  0,2384  32,0000  0,0840  -0,4072  0,2682  33,0000
1,836  0,3990  -0,4072  0,2980  39,0000  0,0630  -0,4385  0,3278  38,0000
1,87  0,4620  -0,4385  0,3576  45,0000  0,0840  -0,4385  0,3874  43,0000
1,904  0,4410  -0,4385  0,4172  52,0000  0,0840  -0,4385  0,4470  46,0000
1,938  0,3990  -0,4385  0,4768  60,0000  0,0840  -0,5011  0,4768  49,0000
1,972  0,3570  -0,4698  0,5364  66,0000  0,0630  -0,5011  0,5364  53,0000
2,006  0,3150  -0,5011  0,5960  72,0000  0,1260  -0,4698  0,6258  56,0000
2,04  0,2730  -0,5011  0,6258  77,0000  0,0840  -0,5011  0,6556  58,0000
2,074  0,2100  -0,5011  0,7152  82,0000  0,0630  -0,5324  0,7152  60,0000
2,108  0,1470  -0,5324  0,7748  86,0000  0,0840  -0,5638  0,8046  63,0000
2,142  0,1050  -0,5638  0,8344  88,0000  0,0840  -0,5638  0,8642  65,0000
2,176  0,0420  -0,5324  0,8940  90,0000  0,1050  -0,5951  0,9238  68,0000
2,21  0,0210  -0,5638  0,9536  92,0000  0,0840  -0,5638  0,9536  70,0000
2,244  0,0210  -0,5951  1,0132  94,0000  0,1050  -0,5951  1,0430  72,0000
2,278  0,0000  -0,6264  1,0728  95,0000  0,0840  -0,5951  1,0728  74,0000
2,312  -0,0420  -0,6577  1,1324  96,0000  0,1050  -0,6264  1,1324  76,0000
2,346  -0,0630  -0,6577  1,1920  96,0000  0,0840  -0,6264  1,1920  77,0000
2,38  0,1050  -0,6577  1,2218  97,0000  0,0840  -0,6264  1,2814  81,0000
2,414  -0,0840  -0,6890  1,2814  97,0000  0,1050  -0,6577  1,3410  81,0000
2,448  -0,0420  -0,6890  1,3708  98,0000  0,1050  -0,6890  1,3708  82,0000
2,482  0,0000  -0,6264  1,4006  97,0000  0,0630  -0,6577  1,4304  83,0000
2,516  0,0000  -0,6577  1,4602  98,0000  0,0630  -0,6577  1,4900  84,0000
2,55  0,0000  -0,6890  1,5198  98,0000  0,1260  -0,6890  1,5496  85,0000
2,584  -0,0210  -0,7204  1,5794  98,0000  0,1050  -0,6890  1,6092  87,0000
2,618  -0,0210  -0,7517  1,6390  98,0000  0,0840  -0,7204  1,6688  87,0000
2,652  0,0000  -0,7204  1,6688  98,0000  0,0630  -0,7517  1,6986  89,0000
